Nivel de estudios,Comunidad Autónoma,ccaa,Tipo,Universidad,Modalidad,Centro,Provincia,Centro,Títuilo,Titulación,Idioma extranjero,Nota de corte
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Sociales y Jurídicas,PCEO Grado en Estudios Internacionales / Grado en Economía,Doble Grado en Estudios Internacionales / Grado en Economía,Sí,"13,13"
GRADO,Andalucía,Andalucía,Pública,Universidad de Granada,Presencial,Propio,Granada,Facultad de Odontología,Grado en Odontología,Grado en Odontología,No,"13,13"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Cádiz,Presencial,Propio,Cádiz,Facultad de Ciencias,PCEO Grado en Matemáticas / Grado en Ingeniería Informática,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"13,11"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Propio,Madrid,Facultad de Filosofía y Letras,PCEO Grado en Historia / Grado en Estudios Internacionales,Doble Grado en Historia / Grado en Estudios Internacionales,No,"13,1"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad de Alcalá,Presencial,Propio,Madrid,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,Grado en Medicina,No,"13,1"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Medicina y Odontología,Grado en Odontología,Grado en Odontología,No,"13,1"
GRADO,Castilla-La Mancha,Castilla-La Mancha,Pública,Universidad de Castilla-La Mancha,Presencial,Propio,Ciudad Real,Facultad de Medicina de Ciudad Real,Grado en Medicina,Grado en Medicina,No,"13,1"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Facultad de Ciencias de la Comunicación. Campus de Fuenlabrada,PCEO Grado en Publicidad y Relaciones Públicas / Grado en Marketing,Doble Grado en Publicidad y Relaciones Públicas / Grado en Marketing,No,"13,09"
GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Propio,Madrid,Facultad de Ciencias de la Salud. Campus de Alcorcón,Grado en Medicina,Grado en Medicina,No,"13,08"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Ciencias Biológicas,Grado en Bioquímica y Ciencias Biomédicas,Grado en Bioquímica y Ciencias Biomédicas,No,"13,08"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Matemáticas,PCEO Grado en Matemáticas/ Grado en Estadística,Doble Grado en Matemáticas/ Grado en Estadística,No,"13,08"
GRADO,Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Propio,Cantabria,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"13,07"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad de Sevilla,Presencial,Propio,Sevilla,Facultad de Ciencias de la Educación,PCEO Grado en Educación Infantil / Grado en Educación Primaria,Doble Grado en Educación Infantil / Grado en Educación Primaria,No,"13,07"
DOBLE GRADO,Andalucía,Andalucía,Pública,Universidad Pablo de Olavide,Presencial,Propio,Sevilla,Facultad de Derecho,PCEO Grado en Relaciones internacionales / Grado en Ciencias políticas y de la administración,Doble Grado en Relaciones internacionales / Grado en Ciencias políticas y de la administración,No,"13,06"
GRADO,Andalucía,Andalucía,Pública,Universidad Pablo de Olavide,Presencial,Propio,Sevilla,Facultad de Derecho,Grado en Relaciones Internacionales,Grado en Relaciones Internacionales,No,"13,05"
DOBLE GRADO,Madrid (Comunidad de),Comunidad de Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Propio,Madrid,Facultad de Ciencias Sociales y Jurídicas,PCEO Grado en Derecho / Grado en Administración de Empresas,Doble Grado en Derecho / Grado en Administración de Empresas,No,"13,04"
GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universitat de València (Estudi General),Presencial,Propio,Valencia,Facultad de Física,Grado en Física,Grado en Física,No,"13,03"
GRADO,Castilla y León,Castilla y León,Pública,Universidad de Salamanca,Presencial,Propio,Salamanca,Facultad de Medicina,Grado en Medicina,Grado en Medicina,No,"13,03"
DOBLE GRADO,Murcia (Región de),Región de Murcia,Pública,Universidad de Murcia,Presencial,Propio,Murcia,Facultad de Matemáticas,PCEO Grado en Matemáticas / Grado en Informática,Doble Grado en Matemáticas / Grado en Informática,No,13
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad de Alicante,Presencial,Propio,Alicante,Facultad de Ciencias,PCEO Grado en Física / Grado en Matemáticas,Doble Grado en Física / Grado en Matemáticas,No,"12,99"
DOBLE GRADO,Comunitat Valenciana,Comunitat Valenciana,Pública,Universidad de Alicante,Presencial,Propio,Alicante,Facultad de Derecho,PCEO Grado en Derecho / Grado en Relaciones Internacionales,Doble Grado en Derecho / Grado en Relaciones Internacionales,No,"12,98"
GRADO,Castilla-La Mancha,Castilla-La Mancha,Pública,Universidad de Castilla-La Mancha,Presencial,Propio,Albacete,Facultad de Medicina de Albacete,Grado en Medicina,Grado en Medicina,No,"12,98"
