CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Jaén),Doble Grado en Ingeniería Eléctrica / Grado en Ingeniería Electrónica Industrial,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Grado en Ingeniería de Sistemas de Telecomunicación,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Traducción y Documentación,Grado en Información y Documentación,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Estudios Sociales y del Trabajo,Grado en Relaciones Laborales y Recursos Humanos,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Filosofía,Grado en Filosofía,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Doble Grado en Ingeniería Eléctrica / Grado en Ingeniería Mecánica,No,5
Extremadura,Badajoz,Pública,Universidad de Extremadura,Presencial,Facultad de Ciencias,Grado en Enología,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Zamora,Grado en Ingeniería de Materiales,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Geografía e Historia,Grado en Antropología Social y Cultural,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Filosofía y Letras,Grado en Historia del Arte,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Geografía e Historia,Grado en Historia del Arte,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Arqueología,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Jaén),Grado en Ingeniería Electrónica Industrial,No,5
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Facultad de Ciencias Humanas y Sociales,Grado en Humanidades,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Facultad de Humanidades y Ciencias de la Educación,Grado en Geografía e Historia,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Escuela Superior de Ciencias Sociales y de la Empresa Tecnocampus,Doble Grado en Administración de Empresas y Gestión de la Innovación / Grado en Marketing y Comunidades Digitales,Sí,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Geografía e Historia,Grado en Geografía,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Facultad de Ciencias Sociales y Jurídicas,Grado en Estadística y Empresa,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,"Escuela de Ingenierías Industrial, Informática y Aeroespacial",Grado en Ingeniería en Electrónica Industrial y Automática,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Geografía e Historia,Grado en Humanidades,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Linares),Grado en Ingeniería Mecánica,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería Agronómica,Grado en Ingeniería Agrícola,No,5
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela de Ingeniería Industrial,Grado en Ingeniería en Tecnologías Industriales,Sí,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Filosofía y Letras,Grado en Historia,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Centro de Magisterio María Inmaculada (Antequera),Grado en Educación Primaria,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Filosofía y Letras,Grado en Historia del Arte,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Jaén),Grado en Ingeniería Mecánica,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Linares),Grado en Ingeniería de Recursos Energéticos,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Escuela Politécnica Superior (Linares),Grado en Ingeniería de Tecnologías de Telecomunicación,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Filología y Comunicación,Grado en Lenguas y Literaturas Modernas,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Geografía e Historia,Grado en Geografía y Cambio Global,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencias Sociales y de la Comunicación,Grado en Ciencia Política y Gestión Pública,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Varias modalidades,Centro Universitario Tecnocampus,Grado en Logística y Negocios Marítimos,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Estudios Ingleses,Sí,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Humanidades,Grado en Humanidades,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Doble Grado en Ingeniería Electrónica Industrial / Grado en Ingeniería Mecánica,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Filología y Comunicación,Grado en Estudios Ingleses,Sí,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Humanidades,Grado en Geografía e Historia,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Varias modalidades,Facultad de Empresa y Comunicación,Grado en Periodismo,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Forestal y del Medio Natural,No,5
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias Políticas y Sociología,Grado en Sociología,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Estudios Portugueses y Brasileños,Sí,5
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Filosofía y Letras,Grado en Antropología Social y Cultural,No,5
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Filosofía y Letras,Grado en Historia y Ciencias de la Música,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Podología,No,5
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Turismo,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Filología,Grado en Filología Clásica,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Agrícola,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Traducción e Interpretación,Doble Grado en Traducción e Interpretación. Inglés-Alemán / Grado en Turismo,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Centro Universitario San Isidoro,Grado en Comunicación,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Experimentales,Grado en Ciencias Ambientales,No,5
Andalucía,Jaén,Pública,Universidad de Jaén,Presencial,Facultad de Trabajo Social,Grado en Trabajo Social,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias,Grado en Óptica y Optometría,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Presencial,"Facultad de Educación, Traducción, Deportes y Psicología",Grado en Maestro de Educación Primaria,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Economía y Empresa,Doble Grado en Gestión de Pequeñas y Medianas Empresas / Grado en Relaciones Laborales y Recursos Humanos,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Escuela de Ingeniería y Arquitectura,Grado en Ingeniería de Tecnologías de Telecomunicación,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Centro de Magisterio María Inmaculada (Antequera),Grado en Educación Infantil,No,5
Cataluña,Barcelona,Pública,Universidad de Lleida,Presencial,Centro Universitario EAE,Grado en Marketing y Comunicación Digital,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Escuela Universitaria Politécnica,Doble Grado en Ingeniería Mecatrónica / Grado en Ingeniería de Organización Industrial (MecaIOI),No,5
Aragón,Teruel,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias Sociales y Humanas,Grado en Magisterio en Educación Infantil,No,5
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias de la Salud y del Deporte,Grado en Nutrición Humana y Dietética,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias,Grado en Geología,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Traducción e Interpretación,Grado en Traducción e Interpretación,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Varias modalidades,Estructura Teleformación ULPGC,Grado en Trabajo Social,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Varias modalidades,Facultad de Ciencias Jurídicas,Grado en Relaciones Laborales y Recursos Humanos,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Varias modalidades,Estructura Teleformación ULPGC,Grado en Relaciones Laborales y Recursos Humanos,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Filología,Grado en Lengua Española y Literaturas Hispánicas,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Filosofía y Letras,Grado en Historia del Arte,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería Mecánica,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería en Organización Industrial,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería en Tecnología Naval,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería Química,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Ciencias Experimentales,Doble Grado en Ciencias ambientales / Grado en Geografía e historia,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería Civil,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Traducción e Interpretación,Grado en Traducción e Interpretación. Inglés-Francés,Sí,5
Castilla y León,León,Pública,Universidad de León,Presencial,Escuela Superior y Técnica de Ingenieros de Minas. Extensión Ponferrada,Grado en Ingeniería en Geomática y Topografía,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Escuela Universitaria de Informática Tomàs Cerdà,Grado en Informática y Servicios,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Grado en Filología Hispánica,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Facultad de Letras,Grado en Comunicación y Periodismo Audiovisuales,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Presencial,"Facultad de Ciencias, Tecnología e Ingenierías",Grado en Biotecnología,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Universitaria de Relaciones Laborales,Grado en Relaciones Laborales y Recursos Humanos,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Presencial,"Facultad de Ciencias, Tecnología e Ingenierías",Grado en Ingeniería Mecatrónica,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Estudios Sociales y del Trabajo,Grado en Estudios de Asia Oriental,No,5
País Vasco,Guipúzcoa,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,"Facultad de Educación, Filosofía y Antropología",Grado en Antropología Social,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Ciencias del Trabajo,Grado en Relaciones Laborales y Recursos Humanos,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Agroalimentaria y del Medio Rural / Grado en Ingeniería de Organización Industrial,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Experimentales,Doble Grado en Matemáticas / Grado en Economía,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Varias modalidades,Facultad de Filosofía y Letras,Grado en Cine y Cultura,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Filosofía y Letras,Grado en Filología Hispánica,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Escuela Politécnica Superior de Bélmez,Grado en Ingeniería de la Energía y Recursos Minerales,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios de Catalán y Español,No,5
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Facultad de Educación y Turismo,Grado en Maestro en Educación Infantil,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias,Grado en Química,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Humanidades,Grado en Humanidades,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Escuela Técnica Superior de Ingeniería Agronómica y de Montes,Grado en Ingeniería Forestal,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Humanidades,Grado en Traducción e Interpretación,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias de la Educación,Grado en Maestro en Educación Infantil,No,5
Castilla y León,Soria,Pública,Universidad de Valladolid,Presencial,Facultad de Ciencias Empresariales y del Trabajo de Soria,Doble Grado en Administración y Dirección de Empresas / Grado en Relaciones Laborales y Recursos Humanos,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Grado en Relaciones Laborales y Recursos Humanos,No,5
Cataluña,Girona,Pública,Universidad de Girona,Varias modalidades,Escuela Universitaria del Deporte y la Salud (EUSES),Grado en Nutrición Humana y Dietética,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Lengua y Literatura Españolas,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Geografía e Historia,Grado en Historia del Arte,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Geografía e Historia,Grado en Arqueología,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Bellas Artes,Grado en Conservación y Restauración de Bienes Culturales,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Bellas Artes,Grado en Arte,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Derecho,Grado en Derecho,No,5
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Facultad de Educación y Turismo,Grado en Gestión del Turismo,No,5
Cataluña,Barcelona,Privada,Universidad de Vic,Varias modalidades,Facultad de Empresa y Comunicación,Grado en Publicidad y Relaciones Públicas,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Varias modalidades,Escuela de Ingeniería y Arquitectura,Grado en Ingeniería Electrónica y Automática,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Experimentales,Grado en Ciencias Ambientales,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Escuela Técnica Superior de Ingeniería Industrial,Doble Grado en Ingeniería Eléctrica / Grado en Ingeniería Electrónica Industrial y Automática,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Turismo,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Administración y Dirección de Empresas,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Filología Catalana: Estudios de Literatura y Lingüística,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Escuela Superior y Técnica de Ingenieros de Minas,Grado en Ingeniería de la Energía,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Varias modalidades,Escuela Universitaria Politécnica,Grado en Ingeniería de Organización Industrial,No,5
Castilla-La Mancha,Ciudad Real,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Derecho y Ciencias Sociales,Doble Grado en Derecho / Grado en Administración y Dirección de Empresas,No,5
Cataluña,Barcelona,Pública,Universidad Pompeu Fabra,Presencial,Facultad de Humanidades,Grado en Estudios Globales / Global Studies,Sí,5
Aragón,Teruel,Pública,Universidad de Zaragoza,Presencial,Facultad de Ciencias Sociales y Humanas,Grado en Bellas Artes,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Derecho,Grado en Derecho,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Facultad de Ciencia y Tecnología,Grado en Geología,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Filosofía y Letras,Grado en Filología Moderna. Inglés,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Centro Universitario San Isidoro,Grado en Fisioterapia,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Facultad de Educación,Grado en Educación Social,No,5
Castilla y León,León,Pública,Universidad de León,Presencial,Facultad de Veterinaria,Grado en Ciencias Gastronómicas,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias Químicas,Grado en Ingeniería Química,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Economía y Empresa,Grado en Economía,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Facultad de Derecho,Grado en Derecho,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Escuela Politécnica Superior,Doble Grado en Ingeniería Civil / Grado en Arquitectura Técnica,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingenierías Industriales y Civiles,Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Bilbao,Grado en Marina,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias del Mar,Grado en Ciencias del Mar,No,5
País Vasco,Vizcaya,Pública,Universidad del País Vasco/Euskal Herriko Unibertsitatea,Presencial,Escuela de Ingeniería de Bilbao,Grado en Náutica y Transporte Marítimo,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Facultad de Ciencias Jurídicas,Grado en Derecho,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Economía y Empresa,Grado en Marketing e Investigación de Mercados,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Facultad de Ciencias,Grado en Ciencias Ambientales,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Electrónica Industrial,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Química Industrial,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Humanidades,Grado en Estudios Ingleses,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Presencial,Facultad de Humanidades,Grado en Filología Hispánica,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Ciencias de la Antigüedad,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Geografía. Medio Ambiente y Planificación Territorial,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios Socioculturales de Género,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Filosofía y Letras,Grado en Información y Documentación,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Mecánica,No,5
Cataluña,Barcelona,Pública,Universidad Autónoma de Barcelona,Presencial,Facultad de Filosofía y Letras,Grado en Estudios de Inglés y de Clásicas,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias Agrarias y Ambientales,Grado en Ingeniería Agrícola,No,5
Cataluña,Barcelona,Pública,Universidad Politécnica de Catalunya,Presencial,Centro de la Imagen y la Tecnología Multimedia,Grado en Diseño y Desarrollo de Videojuegos,Sí,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Informática,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,Centro Magisterio 'Sagrado Corazón',Grado en Educación Infantil,No,5
Cataluña,Barcelona,Pública,Universidad de Girona,Presencial,Escuela Universitaria Mediterráneo,Doble Grado en Marketing / Grado en Turismo,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Facultad de Filosofía y Letras,Grado en Geografía y Gestión del Territorio,No,5
Andalucía,Córdoba,Pública,Universidad de Córdoba,Presencial,"Centro Universitario Fisidec-Educación Superior, S.L.",Grado en Fisioterapia,No,5
Aragón,Huesca,Pública,Universidad de Zaragoza,Presencial,Escuela Politécnica Superior,Grado en Ciencias Ambientales,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Economía y Empresa,Grado en Finanzas y Contabilidad,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Ciencias de la Tierra,Grado en Geología,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Geografía e Historia,Grado en Historia,No,5
Comunitat Valenciana,Alicante,Pública,Universidad Miguel Hernández de Elche,Presencial,Instituto Mediterráneo de Estudios de Protocolo,Grado en Organización de Eventos. Protocolo y Relaciones Institucionales,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Turismo y Finanzas,Grado en Turismo,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario EUSA,Grado en Turismo,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Grado en Ingeniería de Sonido e Imagen,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario EUSA,Grado en Publicidad y Relaciones Públicas,No,5
Andalucía,Málaga,Pública,Universidad de Málaga,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Grado en Ingeniería Electrónica de Telecomunicación,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Zamora,Grado en Ingeniería Civil,No,5
Castilla y León,Zamora,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Zamora,Doble Grado en Ingeniería Informática en Sistemas de Información / Grado en Información y Documentación,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Escuela Politécnica Superior,Grado en Ingeniería de Organización Industrial,No,5
Cataluña,Barcelona,Pública,Universidad de Barcelona,Presencial,Facultad de Filología y Comunicación,Grado en Estudios Árabes y Hebreos,No,5
Castilla y León,Ávila,Pública,Universidad de Salamanca,Presencial,Escuela Politécnica Superior de Ávila,Grado en Ingeniería Civil,No,5
Cataluña,Lleida,Pública,Universidad de Lleida,Presencial,Escuela Técnica Superior de Ingeniería Agroalimentaria y Forestal y de Veterinaria,Doble Grado en Conservación de la Naturaleza / Grado en Ingeniería Forestal,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Escuela Superior de Ingeniería,Grado en Ingeniería Electrónica Industrial y Automática,No,5
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Escuela de Ingeniería de Telecomunicación,Grado en Ingeniería de Tecnologías de Telecomunicación,Sí,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Filosofía y Letras,Grado en Filología Hispánica,No,5
Aragón,Zaragoza,Pública,Universidad de Zaragoza,Presencial,Facultad de Veterinaria,Grado en Ciencia y Tecnología de los Alimentos,No,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Ciencias Sociales,Grado en Relaciones Laborales y Recursos Humanos,No,5
Castilla y León,Burgos,Pública,Universidad de Burgos,Presencial,Facultad de Educación,Grado en Pedagogía,No,5
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Escuela Universitaria (ERAM),Grado en Comunicación Audiovisual y Multimedia,Sí,5
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Geografía e Historia,Grado en Historia y Ciencias de la Música,No,5
Galicia,Pontevedra,Pública,Universidad de Vigo,Presencial,Facultad de Bellas Artes,Grado en Bellas Artes,No,5
Andalucía,Almería,Pública,Universidad de Almería,Presencial,Facultad de Ciencias Económicas y Empresariales,Grado en Turismo,No,5
Cataluña,Girona,Pública,Universidad de Girona,Presencial,Escuela Universitaria del Deporte y la Salud (EUSES),Grado en Ciencias de la Actividad Física y del Deporte,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Escuela Técnica Superior de Ingeniería de Algeciras,Grado en Ingeniería Mecánica,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Filosofía y Letras,Grado en Humanidades,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Filosofía,Grado en Estudios de Asia Oriental,No,5
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Filosofía y Letras,Grado en Filología Hispánica,No,5
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Varias modalidades,Escuela Universitaria de Turismo ESERP,Grado en Educación Infantil,No,5
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Centro Universitario San Isidoro,Grado en Ciencias de la Actividad Física y del Deporte,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Centro Universitario de Osuna,Grado en Finanzas y Contabilidad,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Escuela Técnica Superior de Ingenierías Agrarias,Grado en Ingeniería de las Industrias Agrarias y Alimentarias,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Turismo y Finanzas,Grado en Finanzas y Contabilidad,No,5
Canarias,Las Palmas,Pública,Universidad de Las Palmas de Gran Canaria,Presencial,Escuela de Ingeniería Informática,Grado en Ciencia e Ingeniería de Datos,No,5
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Geografía e Historia,Grado en Geografía y Gestión del Territorio,No,5
Castilla y León,Palencia,Pública,Universidad de Valladolid,Presencial,Escuela Técnica Superior de Ingenierías Agrarias,Grado en Enología,No,5
Andalucía,Huelva,Pública,Universidad de Huelva,Varias modalidades,Facultad de Ciencias del Trabajo,Grado en Relaciones Laborales y Recursos Humanos,No,5
