CCAA,Provincia,Tipo,Universidad,Modalidad,Centro,Título,Idioma extranjero,Nota
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Farmacia,Doble Grado en Farmacia / Grado en Nutrición Humana y Dietética,No,"13,22"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Escuela Técnica Superior de Ingeniería,Grado en Ingeniería Aeroespacial,No,"13,21"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Engineering Physics / Ingeniería Física,Sí,"13,19"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Escuela Politécnica Superior,Grado en Neurociencia / Bachelor in Neuroscience,Sí,"13,18"
Comunitat Valenciana,Castellón,Pública,Universidad Jaume I de Castellón,Presencial,Facultad de Ciencias de la Salud,Grado en Medicina,No,"13,18"
Región de Murcia,Murcia,Pública,Universidad de Murcia,Presencial,Facultad de Matemáticas,Doble Grado en Matemáticas / Grado en Física,No,"13,18"
Comunitat Valenciana,Valencia,Pública,Universidad Politécnica de Valencia,Presencial,Escuela Técnica Superior de Ingeniería de Telecomunicación,Doble Grado en Ingeniería de Tecnologías y Servicios de Telecomunicación / Grado en Matemáticas,No,"13,17"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,15"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Escuela Técnica Superior de Ingeniería Informática. Campus de Móstoles,Doble Grado en Ingeniería Informática / Grado en Matemáticas,No,"13,15"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Estudios Internacionales / Grado en Economía,Sí,"13,13"
Andalucía,Granada,Pública,Universidad de Granada,Presencial,Facultad de Odontología,Grado en Odontología,No,"13,13"
Andalucía,Cádiz,Pública,Universidad de Cádiz,Presencial,Facultad de Ciencias,Doble Grado en Matemáticas / Grado en Ingeniería Informática,No,"13,11"
Comunidad de Madrid,Madrid,Pública,Universidad Autónoma de Madrid,Presencial,Facultad de Filosofía y Letras,Doble Grado en Historia / Grado en Estudios Internacionales,No,"13,1"
Comunidad de Madrid,Madrid,Pública,Universidad de Alcalá,Presencial,Facultad de Medicina y Ciencias de la Salud,Grado en Medicina,No,"13,1"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Medicina y Odontología,Grado en Odontología,No,"13,1"
Castilla-La Mancha,Ciudad Real,Pública,Universidad de Castilla-La Mancha,Presencial,Facultad de Medicina de Ciudad Real,Grado en Medicina,No,"13,1"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Comunicación. Campus de Fuenlabrada,Doble Grado en Publicidad y Relaciones Públicas / Grado en Marketing,No,"13,09"
Comunidad de Madrid,Madrid,Pública,Universidad Rey Juan Carlos,Presencial,Facultad de Ciencias de la Salud. Campus de Alcorcón,Grado en Medicina,No,"13,08"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Ciencias Biológicas,Grado en Bioquímica y Ciencias Biomédicas,No,"13,08"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Matemáticas,Doble Grado en Matemáticas/ Grado en Estadística,No,"13,08"
Cantabria,Cantabria,Pública,Universidad de Cantabria,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,07"
Andalucía,Sevilla,Pública,Universidad de Sevilla,Presencial,Facultad de Ciencias de la Educación,Doble Grado en Educación Infantil / Grado en Educación Primaria,No,"13,07"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Doble Grado en Relaciones internacionales / Grado en Ciencias políticas y de la administración,No,"13,06"
Andalucía,Sevilla,Pública,Universidad Pablo de Olavide,Presencial,Facultad de Derecho,Grado en Relaciones Internacionales,No,"13,05"
Comunidad de Madrid,Madrid,Pública,Universidad Carlos III de Madrid,Presencial,Facultad de Ciencias Sociales y Jurídicas,Doble Grado en Derecho / Grado en Administración de Empresas,No,"13,04"
Comunitat Valenciana,Valencia,Pública,Universitat de València (Estudi General),Presencial,Facultad de Física,Grado en Física,No,"13,03"
Castilla y León,Salamanca,Pública,Universidad de Salamanca,Presencial,Facultad de Medicina,Grado en Medicina,No,"13,03"
